well,frame,cellID,x,y,r,area,totalIntensity.1,sdIntensity.1,totalIntensity.2,sdIntensity.2,denoisedTotalIntensity.1,denoisedTotalIntensityMult.1,denoisedTotalIntensity.2,denoisedTotalIntensityMult.2,denoisedNormalTotalIntensity.1,denoisedNormalTotalIntensityMult.1,denoisedNormalTotalIntensity.2,denoisedNormalTotalIntensityMult.2
E5,3,19687,735.5194,903.814,376.1443,129,11477,22.3526,12861,14.3416,11357,11357,12499.8639949652,12724.9002408699,11173.4997203204,11173.4997203204,12297.8979353514,12519.2981669864
E5,3,19688,735.471,77.0645,472.6774,155,12448,17.7686,31470,29.5139,11357,11357,28795.136662723,28453.9453996526,11173.4997203204,11173.4997203204,28329.8803775225,27994.2018988315
E5,3,19690,738.3824,1003.9265,474.2435,136,10355,14.8813,21291,19.9294,11357,11357,22336.990425374,23519.987198914,11173.4997203204,11173.4997203204,21976.0813833509,23139.9639331694
E5,3,19692,749.0164,96.9098,456.3041,122,12438,31.0478,25670,32.5467,11357,11357,23502.1510564646,23275.7900985889,11173.4997203204,11173.4997203204,23122.4159774884,22899.7124378638
E5,3,19694,755.9316,1000.4103,474.7818,117,10863,25.9737,21113,35.4054,11357,11357,21375.8510387739,22143.4291198333,11173.4997203204,11173.4997203204,21030.4715684909,21785.6475369721
E5,3,19695,757.5659,892.4729,371.5627,129,11336,19.8762,11409,11.4393,11357,11357,11190.9565343279,11430.1497783933,11173.4997203204,11173.4997203204,11010.1390953975,11245.4675840537
E5,3,19696,758.4551,231.6282,330.3404,156,10991,9.2208,14055,10.0661,11357,11357,14106.6574192046,14535.6090431996,11173.4997203204,11173.4997203204,13878.7296581965,14300.7505132409
E5,3,19697,762.438,790.3066,278.6475,137,10728,13.2818,37865,47.443,11357,11357,38694.2938577283,40396.6614745757,11173.4997203204,11173.4997203204,38069.0923304854,39743.95400969
E5,3,19698,769.8645,278.7355,291.7601,155,11368,11.1089,22812,17.2153,11357,11357,22329.2087250318,22788.2810370704,11173.4997203204,11173.4997203204,21968.425415525,22420.0802847837
E5,3,19700,772.9732,361.4228,222.647,149,11062,11.4795,23794,22.1093,11357,11357,23767.4635565856,24481.4774935846,11173.4997203204,11173.4997203204,23383.4417013502,24085.9189863166
E5,3,19701,780.2177,635.0323,169.3876,124,11235,20.5346,17752,25.8285,11357,11357,17528.9120785175,17954.2762164439,11173.4997203204,11173.4997203204,17245.6893727953,17664.1807064358
E5,3,19702,782.8088,26.8897,532.6129,136,12460,22.8859,19417,25.3949,11357,11357,17753.8928486796,17621.1415141591,11173.4997203204,11173.4997203204,17467.0350250348,17336.4286149672
E5,3,19704,796.4118,881.0809,375.2343,136,10740,14.2615,19590,20.0288,11357,11357,20002.4244569264,20790.4892357225,11173.4997203204,11173.4997203204,19679.2360724836,20454.5677256907
E5,3,19705,797.3007,219.5882,356.9414,153,11517,11.1663,14188,10.4667,11357,11357,13753.9992601618,13986.5283144305,11173.4997203204,11173.4997203204,13531.7695594527,13760.541534696
E5,3,19706,800.546,956.2883,446.1737,163,9919,6.0972,24610,14.9528,11357,11357,26657.6565941329,28557.0484293668,11173.4997203204,11173.4997203204,26226.9365588572,28095.6390454087
E5,3,19707,802.0142,540.2908,162.0144,141,10967,13.5637,20277,16.8136,11357,11357,20384.6093442852,21046.6073835102,11173.4997203204,11173.4997203204,20055.2458225949,20706.5476546046
E5,3,19708,805.2101,697.6232,228.3407,138,11306,16.1003,18880,24.1883,11357,11357,18555.6750572263,18969.8555918481,11173.4997203204,11173.4997203204,18255.8624691621,18663.3508981274
E5,3,19710,821.6782,415.4655,220.263,174,11059,6.7262,21520,15.0529,11357,11357,21500.3324067925,22141.9416617586,11173.4997203204,11173.4997203204,21152.9416337142,21784.1841124425
E5,3,19713,828.5588,631.9353,209.7773,170,10964,8.209,47267,30.1074,11357,11357,47527.5050767963,49232.8614548055,11173.4997203204,11173.4997203204,46759.5812875856,48437.3834371614
E5,3,19714,837.8049,60.8455,518.378,123,12826,30.9273,18815,39.817,11357,11357,16837.3297087646,16578.1719870341,11173.4997203204,11173.4997203204,16565.2812179118,16310.3108268512
E5,3,19716,843.3655,213.8207,384.3832,145,11841,14.9184,14677,11.0538,11357,11357,13937.7326720285,14063.6361832005,11173.4997203204,11173.4997203204,13712.5343059621,13836.4035361168
E5,3,19717,853.9618,80.0153,507.3122,131,12256,21.6721,20907,32.2063,11357,11357,19352.1980778413,19289.8826205382,11173.4997203204,11173.4997203204,19039.5157004794,18978.2071027205
E5,3,19718,856.0661,1039.0496,543.8153,121,9375,15.8861,25202,45.3044,11357,11357,28467.3795256632,31169.7431199861,11173.4997203204,11173.4997203204,28007.4189634809,30666.119224586
E5,3,19719,858.3551,257.7009,356.8918,107,12056,34.9633,15241,11.9276,11357,11357,14281.0945494763,14335.9592093825,11173.4997203204,11173.4997203204,14050.3483274142,14104.3265137413
E5,3,19720,860.6923,736.5923,295.5565,130,10340,14.8184,17204,20.2061,11357,11357,18068.6550908933,18994.004631115,11173.4997203204,11173.4997203204,17776.7115087313,18687.1097502446
E5,3,19721,859.1985,391.7863,264.604,131,10945,15.6172,15028,14.3389,11357,11357,15130.3116137085,15613.3491756368,11173.4997203204,11173.4997203204,14885.8442004166,15361.0771019849
E5,3,19725,866.6875,683.2031,268.1312,128,12091,22.1117,18638,21.697,11357,11357,17426.5676441598,17456.156161408,11173.4997203204,11173.4997203204,17144.9985646002,17174.1090065476
E5,3,19727,873.5064,447.8526,251.0307,156,10920,8.486,18240,13.2595,11357,11357,18395.409509348,19011.046734,11173.4997203204,11173.4997203204,18098.1864055542,18703.8764960242
E5,3,19728,871.7349,287.9578,342.3833,166,11424,8.4919,32375,24.4861,11357,11357,31574.3187948675,32164.0263143825,11173.4997203204,11173.4997203204,31064.1579839534,31644.3373274747
E5,3,19729,877.5,239.6964,382.8688,112,12481,31.8727,16645,14.0374,11357,11357,15200.2889190944,15102.435438045,11173.4997203204,11173.4997203204,14954.6908502501,14858.4184329623
E5,3,19731,880.0841,93.6449,506.8267,107,12820,38.6506,18942,35.0031,11357,11357,16956.8750805701,16696.6581876821,11173.4997203204,11173.4997203204,16682.8950400861,16426.8825913842
E5,3,19735,896.7754,770.1739,344.8385,138,10574,13.5879,30442,45.2143,11357,11357,31444.7450069601,32963.8479147189,11173.4997203204,11173.4997203204,30936.6777794149,32431.2358418417
E5,3,19736,899,188.431,436.6712,116,12455,30.5092,16422,18.784,11357,11357,15019.8996955591,14933.8135931705,11173.4997203204,11173.4997203204,14777.2162584811,14692.5210888974
E5,3,19737,900.9113,721.4516,317.804,124,9768,14.5534,14083,21.7286,11357,11357,15429.6434258032,16472.5162425999,11173.4997203204,11173.4997203204,15180.3395705605,16206.3622109415
E5,3,19738,902.0779,271.961,374.8729,154,11580,10.7952,23382,17.4415,11357,11357,22575.0672247125,22898.2626092524,11173.4997203204,11173.4997203204,22210.3114661917,22528.2848340499
E5,3,19739,904.2598,999.3307,529.9226,127,9725,12.9348,20275,18.7038,11357,11357,22286.6750716093,23973.1706649852,11173.4997203204,11173.4997203204,21926.5789979306,23585.8251052571
E5,3,19740,911.7027,18.3041,588.2083,148,12605,14.8422,17090,13.2544,11357,11357,15492.4413108694,15346.2780118214,11173.4997203204,11173.4997203204,15242.1228012749,15098.3211299679
E5,3,19741,913.2264,69.1824,544.3546,159,12700,14.7981,32358,39.9856,11357,11357,29170.0039595729,28617.8677617169,11173.4997203204,11173.4997203204,28698.690770805,28155.4756917944
E5,3,19742,914.2016,743.969,341.7453,129,10435,14.7348,20380,21.6715,11357,11357,21259.3144356671,22316.9842334649,11173.4997203204,11173.4997203204,20915.8179009536,21956.3984406987
E5,3,19744,917.0952,400.3968,310.2754,126,11241,20.1167,12153,17.557,11357,11357,11995.5145085011,12279.4655669391,11173.4997203204,11173.4997203204,11801.6974558278,12081.0605862356
E5,3,19748,938.7902,37.0699,584.9908,143,12991,18.0079,24367,23.5355,11357,11357,21599.6217849498,21112.8348414355,11173.4997203204,11173.4997203204,21250.6267476589,20771.7050449899
E5,3,19749,942.1905,262.9762,409.9528,126,12148,23.5892,14770,11.9625,11357,11357,13761.8026395007,13788.9662535037,11173.4997203204,11173.4997203204,13539.4468559976,13566.1715749785
E5,3,19750,944.4901,564.2318,305.4527,151,11577,12.3049,20868,17.049,11357,11357,20151.7068258956,20446.7237092531,11173.4997203204,11173.4997203204,19826.1064174627,20116.3565771601
E5,3,19753,957.6319,805.8125,414.1815,144,10185,10.3107,24029,17.9273,11357,11357,25521.4949682895,27066.8574459514,11173.4997203204,11173.4997203204,25109.1324196831,26629.5257640477
E5,3,19755,961.3893,995.0229,557.0789,131,9631,10.6492,16329,16.4354,11357,11357,18079.164124648,19438.9349864732,11173.4997203204,11173.4997203204,17787.0507431875,19124.8511609302
E5,3,19756,974.7317,339.8902,389.9862,164,11897,11.2813,26564,22.661,11357,11357,25137.7119396035,25257.6396291721,11173.4997203204,11173.4997203204,24731.5503501501,24849.5403128034
E5,3,19757,979.6309,416.3221,361.4489,149,11367,11.6979,15980,13.9182,11357,11357,15642.8230796857,15965.4292165576,11173.4997203204,11173.4997203204,15390.0747825913,15707.4684235274
E5,3,19758,977.669,754.6479,400.1176,142,10283,9.628,17790,16.0991,11357,11357,18761.0083387873,19764.2183121764,11173.4997203204,11173.4997203204,18457.8780863228,19444.8787341246
E5,3,19759,980.1781,24.7466,617.4198,146,12317,15.5793,16326,13.6163,11357,11357,15056.2294368113,15017.0341660064,11173.4997203204,11173.4997203204,14812.9590033715,14774.3970286092
E5,3,19761,986.1357,286.5714,428.9941,140,12157,16.3534,15563,13.5528,11357,11357,14492.6952061458,14512.9003170669,11173.4997203204,11173.4997203204,14258.5300548172,14278.4087024553
E5,3,19762,988.2893,950.3058,538.1972,121,9481,13.3178,19590,17.9951,11357,11357,21944.1477865734,23804.4501464107,11173.4997203204,11173.4997203204,21589.5860839964,23419.8306818087
E5,3,19763,987.1942,64.9281,588.4192,139,12117,18.4885,24624,20.2806,11357,11357,22986.7712002556,22967.0643100687,11173.4997203204,11173.4997203204,22615.363350984,22595.9748740982
