#wells,B4
#channel,3
#pathname,Z:/DATA/201112/20111205/201112051201_HCEC+LRHCL+TapYFP_Hoechst_subtracted/B4
#halo_size,8
#nuclear_channel,1
#segment_params.inequalities,Area<3000 Area>200 Solidity>.90 
#segment_params.threshold,800
mad_nucleus,median_nucleus,mean_nucleus,std_nucleus,max_nucleus,sum_nucleus,length_nucleus,mad_halo,median_halo,mean_halo,std_halo,max_halo,sum_halo,length_halo
203.05,2748,2714.5,249.93,3320,3.2004e+006,1179,278.93,2347,2408.9,349.48,3406,2.5968e+006,1078
215.63,2358.5,2286.2,305.84,2825,8.7792e+005,384,760.02,1267.5,1166.6,830.05,2482,8.3995e+005,720
25.252,44,49.412,30.837,138,16899,342,25.214,44,48.796,30.475,140,28741,589
28.354,59.5,62.372,35.114,183,37548,602,28.778,58,60.441,35.249,187,45875,759
378.88,2690,2699.4,455.45,3633,2.1892e+006,811,482.42,1817.5,1905.8,620.92,3301,1.8448e+006,968
182.71,1650,1615.9,231.34,2040,1.0293e+006,637,379.78,1380.5,1254.3,452.34,1994,1.0561e+006,842
237.11,3526,3465.4,332.12,3978,1.6807e+006,485,889.58,2820.5,2438.5,1144.5,7027,1.8874e+006,774
449.78,3927,3934.8,560.09,5175,1.8691e+006,475,923.88,2752.5,2377,1121,4814,1.778e+006,748
131.5,2061,2024.5,171.62,2342,1.486e+006,734,359.19,1601.5,1520.9,437.27,2200,1.4205e+006,934
242.43,1467,1390.8,300.3,1898,6.69e+005,481,453.24,694,747.98,507.87,1754,5.2135e+005,697
152.95,1645.5,1634.4,181.71,1991,1.1147e+006,682,246.54,1342.5,1337.4,289.84,1927,1.1742e+006,878
47.502,405,404.32,58.832,573,3.4488e+005,853,46.58,319.5,323.03,57.96,493,3.0688e+005,950
36.426,176,174.21,45.673,306,79264,455,37.29,159,159.9,48.089,397,1.1912e+005,745
227.18,196,331.67,256.19,1001,1.403e+005,423,320.46,424,461.22,361.38,1299,3.3162e+005,719
111.72,1359,1328.6,149.02,1660,1.1864e+006,893,240.48,1118.5,1036.7,292.52,1502,1.018e+006,982
35.521,219,219.78,44.512,372,2.6021e+005,1184,35.845,230,230.17,45.173,398,2.541e+005,1104
130.88,1243.5,1231.8,175.84,1781,5.7649e+005,468,234.84,1199,1170.1,328.41,2179,9.0328e+005,772
234.56,3082,3092.7,286.8,3826,1.4536e+006,470,635.1,2441.5,2168.2,771.3,3402,1.6218e+006,748
1523.3,5713,5122.4,1833.8,7363,1.8953e+006,370,1717.8,1348,2207.8,1880.7,6595,1.5632e+006,708
212.46,2081,2100.4,268.17,2750,1.4577e+006,694,478.08,1535,1510.1,583.22,2623,1.3289e+006,880
350.77,3129,3046,435.06,3710,1.0326e+006,339,847.01,1583.5,1595.4,978.7,3373,1.0466e+006,656
30.61,131,130.34,38.954,285,49006,376,49.89,132,145.93,94.153,908,1.0011e+005,686
28.572,66,66.4,35.217,198,45285,682,28.797,65,66.293,35.437,223,55288,834
27.034,53,56.273,33.177,194,67021,1191,28.812,55,59.496,35.745,190,62352,1048
399.96,3269,3243.7,482.15,4145,1.5894e+006,490,1006.2,1819,1798.2,1174.5,4158,1.4457e+006,804
320.77,3444,3321.6,405.66,3918,1.9199e+006,578,1097.4,2196.5,2067.3,1240.8,4042,1.6786e+006,812
